2,Abako H/C III,102,116,7,772312515,,Ojok Isaac,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
3,Aber Hospital,77,3,7,782117574,,Ato Benard,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
4,Abim Hospital,1,4,22,772896592,,Okubal Samuel,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
5,Aboke H/C IV,104,3,7,779203475,,ejang flavia,,P.O.Box 419 Kole,1,2014-07-14 11:37:13,samuel@trailanalytics.com
6,Abongomola H/C III,6,109,7,772868854,,Omara Tobas,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
8,Achol Pii H/C III,101,89,7,774253869,,Ssemujju Julius,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
9,Acholi Bur H/C III,78,118,7,785966429,,Okello Godfrey,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
10,Adjumani Hospital,2,5,1,772918562,,AMOJU EMMANUEL,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
11,Adok H/C II,22,71,7,752418166,,Okwang,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
12,Aduku H/C II (NGO),6,3,7,,NULL,Ocha Jimmy,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
13,Aduku H/C IV,6,109,7,782972445,,Okello A,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
14,Agali H/C III,54,36,7,772991888,,molly awor,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
15,Agoro H/C III,53,75,7,711068465,,OPIRA CHURCHILL,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
18,Agulurude H/C III,77,3,7,777583284,,Apollo Semmy,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
19,Agwata H/C III,22,71,7,774993910,,Oluk Norman,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
20,Akalo H/C III,104,36,7,753761001,,OLIDO GEOFFREY,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
21,Akokoro H/C III,6,109,7,773577763,,OWINY JIMMY,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
22,Akuna Laber H/C III,47,70,7,774849340,,Ojok William,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
23,Alebtong H/C IV,102,116,7,775306235,,Angoo Richard,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
24,Alerek H/C III,1,4,16,775287200,,Okello Emmanuel,,,1,2014-07-14 11:37:48,samuel@trailanalytics.com
25,Alero H/C III,106,73,7,717573999,,AUMA DORCUS,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
26,Alito H/C III,104,36,7,773623359,,Ocen James,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
27,Alive Medical Services H/C III,35,69,23,0414258580/078268526,,Saudah A Kiganda,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
29,Amach H/C IV (Lira),54,36,7,777647634,,Anna olal,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
30,Amai Community Hospital,3,72,7,777114350,,Oruka Jimmy,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
31,Amolatar H/C IV,3,72,7,773897355,,Otim Douglas,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
32,Amuca SDA H/C III,54,36,7,787324669,,Ogwanga Moses,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
35,Amugu H/C III,102,116,7,782681664,,Opio David,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
37,Amuru H/C III,23,17,7,774848923,,Ojok Goya Awira,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
38,Anaka Hospital,106,73,7,774805770,,Obal M Stanley,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
41,Anyeke H/C IV,77,3,7,772660987,,Ekwar ,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
42,Apac Hospital,6,109,7,774805815,,Auma Anna Grace,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
43,Apala Bar Owoo H/C III,104,36,7,785966224,,Opolo C,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
44,Apala H/C III,102,116,7,782346273,,ebong moses,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
46,Apoi H/C III,6,109,7,,,Mwony Francis,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
47,Aputi H/C III,3,72,7,773394839,,Otim Douglas,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
49,Aromo H/C III,54,36,7,774059095,,Otim,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
50,Arua R R Hospital,7,1,22,752663302,,MARY OCOKORU,,,1,2014-07-14 11:37:13,samuel@trailanalytics.com
52,Atanga H/C III,78,118,7,783317151,,Acan Mary,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
53,Atiak H/C IV,5,85,7,775666037,,Omara Denish,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
57,Awach H/C IV (Gulu),23,17,25,782040787,,Stephen,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
62,Aywee H/C III,23,17,7,782123189,,AUMA NIGHTY BONGOMIN,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
64,Baitambogwe H/C III,61,19,2,774140176,,kirumira m,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
65,Bala H/C III,104,36,7,779203475,,Ejang Flavia,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
68,Barr H/C III,54,36,7,772618460,,Odong Tom,,,1,2014-07-14 11:37:14,samuel@trailanalytics.com
